City,Gas,Electricity
HAAFTEN,3457
RIETMOLEN,4036
"KRING VAN DORTH",3695
"LAREN GLD",5613
GELSELAAR,3420
HOLTEN,7635
RIJSSEN,8045
ZUNA,8538
NOTTER,21254
ENTER,305089,4122
GOOR,504633,1119848
MARKELO,351249
DIEPENHEIM,129501
HAAKSBERGEN,2555
DELDEN,337080
"AMBT DELDEN",93456
HENGEVELDE,82446
BENTELO,64836
"HENGELO OV",656362
DEURNINGEN,98713
OLDENZAAL,1310665,3006420
"DE LUTTE",2556
DENEKAMP,402241
WEERSELO,126431
"ROSSUM OV",76819
"ROSSUM OVL",3608
SAASVELD,73613
ALMELO,2522183,6109311
AADORP,59937
MARIAPAROCHIE,7134
HARBRINKHOEK,59932
BORNE,703380
ZENDEREN,57828
HERTME,15824
BORNERBROEK,91676
OOTMARSUM,246376
TILLIGTE,31350
LATTROP-BREKLENKAMP,53744
AGELO,23061
"OUD OOTMARSUM",12833
NUTTER,3638
WIERDEN,593284
"HOGE HEXEL",41517
TUBBERGEN,228974
VASSE,41626
HEZINGEN,3745
MANDER,21631
MANDERVEEN,24169
ALBERGEN,157285
FLERINGEN,50208
REUTUM,53931
"HAARLE GEM TUBBERGEN",6199
VRIEZENVEEN,545933
BRUINEHAAR,9664
"WESTERHAAR-VRIEZENV WIJK",172016
"GEESTEREN OV",169100
"GEESTEREN OVL",3868
LANGEVEEN,52948
VROOMSHOOP,363942
"DEN HAM OV",241068
"DEN HAM OVL",2146
GEERDIJK,17589
BERGENTHEIM,103666
MARIENBERG,29855
SIBCULO,62921
KLOOSTERHAAR,64377
BRUCHTERVELD,43988
BRUCHT,7742
DEDEMSVAART,2209
HARDENBERG,639574
LUTTEN,90987
SLAGHAREN,138344
SCHUINESLOOT,41466
LOOZEN,6302
HOLTHONE,3228
"DE KRIM",108403
GRAMSBERGEN,111463
ANE,23928
"DEN VELDE",8857
HOLTHEME,6646
ANERVEEN,6904
RADEWIJK,27093
HOOGENWEG,16565
RHEEZE,9644
DIFFELEN,2150
HEEMSERVEEN,12190
RHEEZERVEEN,21499
COLLENDOORN,17494
